id,en,pt,img
lazer_A1_001,I have free time today.,Eu tenho tempo livre hoje.,https://images.unsplash.com/photo-1533174072545-7a4b6ad7a6c3?w=800
lazer_A1_002,I relax at home.,Eu relaxo em casa.,https://images.unsplash.com/photo-1533174072545-7a4b6ad7a6c3?w=800
lazer_A1_003,I watch a movie.,Eu assisto a um filme.,https://images.unsplash.com/photo-1587825140708-dfaf72ae4b04?w=800
lazer_A1_004,I listen to music.,Eu ouço música.,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=800
lazer_A1_005,I play video games.,Eu jogo videogame.,https://images.unsplash.com/photo-1511512578047-dfb367046420?w=800
lazer_A1_006,I read a book.,Eu leio um livro.,https://images.unsplash.com/photo-1512820790803-83ca734da794?w=800
lazer_A1_007,I go for a walk.,Eu dou uma caminhada.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
lazer_A1_008,I meet my friends.,Eu encontro meus amigos.,https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=800
lazer_A1_009,I talk and laugh.,Eu converso e rio.,https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=800
lazer_A1_010,I enjoy my time.,Eu aproveito meu tempo.,https://images.unsplash.com/photo-1533174072545-7a4b6ad7a6c3?w=800
lazer_A1_011,I play sports.,Eu pratico esportes.,https://images.unsplash.com/photo-1508609349937-5ec4ae374ebf?w=800
lazer_A1_012,I ride a bike.,Eu ando de bicicleta.,https://images.unsplash.com/photo-1508609349937-5ec4ae374ebf?w=800
lazer_A1_013,I go to the park.,Eu vou ao parque.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
lazer_A1_014,I take photos.,Eu tiro fotos.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
lazer_A1_015,I travel on weekends.,Eu viajo nos fins de semana.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
lazer_A1_016,I rest in the afternoon.,Eu descanso à tarde.,https://images.unsplash.com/photo-1512436991641-6745cdb1723f?w=800
lazer_A1_017,I have fun.,Eu me divirto.,https://images.unsplash.com/photo-1533174072545-7a4b6ad7a6c3?w=800
lazer_A1_018,I smile a lot.,Eu sorrio bastante.,https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=800
lazer_A1_019,I feel relaxed.,Eu me sinto relaxado.,https://images.unsplash.com/photo-1512436991641-6745cdb1723f?w=800
lazer_A1_020,I enjoy the moment.,Eu aproveito o momento.,https://images.unsplash.com/photo-1533174072545-7a4b6ad7a6c3?w=800
lazer_A2_021,I like to spend my free time outdoors.,Gosto de passar meu tempo livre ao ar livre.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
lazer_A2_022,I usually relax after a busy week.,Geralmente relaxo depois de uma semana corrida.,https://images.unsplash.com/photo-1512436991641-6745cdb1723f?w=800
