id,en,pt,img
tecnologia_A1_001,I use my phone every day.,Eu uso meu celular todos os dias.,https://images.unsplash.com/photo-1518770660439-4636190af475?w=800
tecnologia_A1_002,I turn on my computer.,Eu ligo meu computador.,https://images.unsplash.com/photo-1488590528505-98d2b5aba04b?w=800
tecnologia_A1_003,I check my emails.,Eu verifico meus e-mails.,https://images.unsplash.com/photo-1461749280684-dccba630e2f6?w=800
tecnologia_A1_004,I browse the internet.,Eu navego na internet.,https://images.unsplash.com/photo-1504639725590-34d0984388bd?w=800
tecnologia_A1_005,I send a message.,Eu envio uma mensagem.,https://images.unsplash.com/photo-1550751827-4bd374c3f58b?w=800
tecnologia_A1_006,I receive notifications.,Eu recebo notificações.,https://images.unsplash.com/photo-1519389950473-47ba0277781c?w=800
tecnologia_A1_007,I download an app.,Eu baixo um aplicativo.,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?w=800
tecnologia_A1_008,I update my phone.,Eu atualizo meu celular.,https://images.unsplash.com/photo-1535303311164-664fc9ec6532?w=800
tecnologia_A1_009,I connect to Wi-Fi.,Eu me conecto ao Wi-Fi.,https://images.unsplash.com/photo-1531297484001-80022131f5a1?w=800
tecnologia_A1_010,The internet is slow.,A internet está lenta.,https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?w=800
tecnologia_A1_011,I restart the device.,Eu reinicio o dispositivo.,https://images.unsplash.com/photo-1518770660439-4636190af475?w=800
tecnologia_A1_012,I charge the battery.,Eu carrego a bateria.,https://images.unsplash.com/photo-1488590528505-98d2b5aba04b?w=800
tecnologia_A1_013,The battery is low.,A bateria está fraca.,https://images.unsplash.com/photo-1461749280684-dccba630e2f6?w=800
tecnologia_A1_014,I use social media.,Eu uso redes sociais.,https://images.unsplash.com/photo-1504639725590-34d0984388bd?w=800
tecnologia_A1_015,I watch videos online.,Eu assisto vídeos online.,https://images.unsplash.com/photo-1550751827-4bd374c3f58b?w=800
tecnologia_A1_016,I listen to music online.,Eu ouço música online.,https://images.unsplash.com/photo-1519389950473-47ba0277781c?w=800
tecnologia_A1_017,I save my files.,Eu salvo meus arquivos.,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?w=800
tecnologia_A1_018,I open a document.,Eu abro um documento.,https://images.unsplash.com/photo-1535303311164-664fc9ec6532?w=800
tecnologia_A1_019,I close the program.,Eu fecho o programa.,https://images.unsplash.com/photo-1531297484001-80022131f5a1?w=800
tecnologia_A1_020,I turn off the device.,Eu desligo o dispositivo.,https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?w=800
tecnologia_A2_021,I rely on technology for work.,Eu dependo da tecnologia para trabalhar.,https://images.unsplash.com/photo-1518770660439-4636190af475?w=800
