id,en,pt,img
relacionamento_A1_001,I meet someone new.,Eu conheço alguém novo.,https://images.unsplash.com/photo-1511632765486-a01980e01a18?w=800
relacionamento_A1_002,We start talking.,Nós começamos a conversar.,https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=800
relacionamento_A1_003,I like this person.,Eu gosto dessa pessoa.,https://images.unsplash.com/photo-1516589178581-6cd7833ae3b2?w=800
relacionamento_A1_004,We go out together.,Nós saímos juntos.,https://images.unsplash.com/photo-1529333166437-7750a6dd5a70?w=800
relacionamento_A1_005,We have dinner.,Nós jantamos.,https://images.unsplash.com/photo-1519741497674-611481863552?w=800
relacionamento_A1_006,We laugh a lot.,Nós rimos muito.,https://images.unsplash.com/photo-1543269865-cbf427effbad?w=800
relacionamento_A1_007,I feel happy.,Eu me sinto feliz.,https://images.unsplash.com/photo-1517457373958-b7bdd4587205?w=800
relacionamento_A1_008,I feel nervous.,Eu me sinto nervoso.,https://images.unsplash.com/photo-1515377905703-c4788e51af15?w=800
relacionamento_A1_009,We talk every day.,Nós conversamos todos os dias.,https://images.unsplash.com/photo-1491438590914-bc09fcaaf77a?w=800
relacionamento_A1_010,I miss you.,Eu sinto sua falta.,https://images.unsplash.com/photo-1528605248644-14dd04022da1?w=800
relacionamento_A1_011,I trust you.,Eu confio em você.,https://images.unsplash.com/photo-1511632765486-a01980e01a18?w=800
relacionamento_A1_012,We spend time together.,Nós passamos tempo juntos.,https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=800
relacionamento_A1_013,I care about you.,Eu me importo com você.,https://images.unsplash.com/photo-1516589178581-6cd7833ae3b2?w=800
relacionamento_A1_014,We watch a movie.,Nós assistimos um filme.,https://images.unsplash.com/photo-1529333166437-7750a6dd5a70?w=800
relacionamento_A1_015,We take a walk.,Nós damos uma caminhada.,https://images.unsplash.com/photo-1519741497674-611481863552?w=800
relacionamento_A1_016,I feel jealous.,Eu me sinto com ciúmes.,https://images.unsplash.com/photo-1543269865-cbf427effbad?w=800
relacionamento_A1_017,We have a problem.,Nós temos um problema.,https://images.unsplash.com/photo-1517457373958-b7bdd4587205?w=800
relacionamento_A1_018,We talk about it.,Nós conversamos sobre isso.,https://images.unsplash.com/photo-1515377905703-c4788e51af15?w=800
relacionamento_A1_019,We solve the problem.,Nós resolvemos o problema.,https://images.unsplash.com/photo-1491438590914-bc09fcaaf77a?w=800
relacionamento_A1_020,We feel better now.,Nós nos sentimos melhor agora.,https://images.unsplash.com/photo-1528605248644-14dd04022da1?w=800
relacionamento_A2_021,We support each other.,Nós apoiamos um ao outro.,https://images.unsplash.com/photo-1511632765486-a01980e01a18?w=800
relacionamento_A2_022,I respect your opinion.,Eu respeito sua opinião.,https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=800
relacionamento_A2_023,Communication is important.,Comunicação é importante.,https://images.unsplash.com/photo-1516589178581-6cd7833ae3b2?w=800
relacionamento_A2_024,I apologize for my mistake.,Peço desculpas pelo meu erro.,https://images.unsplash.com/photo-1529333166437-7750a6dd5a70?w=800
relacionamento_A2_025,We forgive each other.,Nós nos perdoamos.,https://images.unsplash.com/photo-1519741497674-611481863552?w=800
relacionamento_A2_026,I feel understood.,Eu me sinto compreendido.,https://images.unsplash.com/photo-1543269865-cbf427effbad?w=800
relacionamento_A2_027,We make plans for the future.,Nós fazemos planos para o futuro.,https://images.unsplash.com/photo-1517457373958-b7bdd4587205?w=800
relacionamento_A2_028,I want a serious relationship.,Eu quero um relacionamento sério.,https://images.unsplash.com/photo-1515377905703-c4788e51af15?w=800
relacionamento_A2_029,Trust takes time to build.,Confiança leva tempo para ser construída.,https://images.unsplash.com/photo-1491438590914-bc09fcaaf77a?w=800
relacionamento_A2_030,We grow together.,Nós crescemos juntos.,https://images.unsplash.com/photo-1528605248644-14dd04022da1?w=800
relacionamento_B1_031,A healthy relationship requires effort.,Um relacionamento saudável exige esforço.,https://images.unsplash.com/photo-1511632765486-a01980e01a18?w=800
relacionamento_B1_032,Honesty strengthens the connection.,Honestidade fortalece a conexão.,https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=800
relacionamento_B1_033,We learned to handle disagreements maturely.,Aprendemos a lidar com discordâncias com maturidade.,https://images.unsplash.com/photo-1516589178581-6cd7833ae3b2?w=800
relacionamento_B1_034,Mutual respect is essential.,Respeito mútuo é essencial.,https://images.unsplash.com/photo-1529333166437-7750a6dd5a70?w=800
relacionamento_B1_035,Sharing experiences strengthens bonds.,Compartilhar experiências fortalece laços.,https://images.unsplash.com/photo-1519741497674-611481863552?w=800
relacionamento_B1_036,We overcame challenges together.,Superamos desafios juntos.,https://images.unsplash.com/photo-1543269865-cbf427effbad?w=800
relacionamento_B1_037,Love grows with understanding.,O amor cresce com compreensão.,https://images.unsplash.com/photo-1517457373958-b7bdd4587205?w=800
relacionamento_B1_038,We built a strong partnership.,Construímos uma parceria forte.,https://images.unsplash.com/photo-1515377905703-c4788e51af15?w=800
relacionamento_B1_039,Emotional maturity improves relationships.,Maturidade emocional melhora relacionamentos.,https://images.unsplash.com/photo-1491438590914-bc09fcaaf77a?w=800
relacionamento_B1_040,Commitment requires responsibility.,Compromisso exige responsabilidade.,https://images.unsplash.com/photo-1528605248644-14dd04022da1?w=800
relacionamento_B1_041,Building trust requires consistency.,Construir confiança exige consistência.,https://images.unsplash.com/photo-1511632765486-a01980e01a18?w=800
relacionamento_B1_042,Emotional support strengthens the bond.,Apoio emocional fortalece o vínculo.,https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=800
relacionamento_B1_043,Healthy boundaries protect both partners.,Limites saudáveis protegem ambos os parceiros.,https://images.unsplash.com/photo-1516589178581-6cd7833ae3b2?w=800
relacionamento_B1_044,Listening carefully avoids unnecessary conflicts.,Ouvir com atenção evita conflitos desnecessários.,https://images.unsplash.com/photo-1529333166437-7750a6dd5a70?w=800
relacionamento_B1_045,Mutual goals strengthen the relationship.,Objetivos mútuos fortalecem o relacionamento.,https://images.unsplash.com/photo-1519741497674-611481863552?w=800
relacionamento_B1_046,Respect creates emotional security.,Respeito cria segurança emocional.,https://images.unsplash.com/photo-1543269865-cbf427effbad?w=800
relacionamento_B1_047,Patience helps during difficult times.,Paciência ajuda em momentos difíceis.,https://images.unsplash.com/photo-1517457373958-b7bdd4587205?w=800
relacionamento_B1_048,Personal growth benefits the partnership.,Crescimento pessoal beneficia a parceria.,https://images.unsplash.com/photo-1515377905703-c4788e51af15?w=800
relacionamento_B1_049,Long-term commitment requires dedication.,Compromisso de longo prazo exige dedicação.,https://images.unsplash.com/photo-1491438590914-bc09fcaaf77a?w=800
relacionamento_B1_050,A strong relationship is built daily.,Um relacionamento forte é construído diariamente.,https://images.unsplash.com/photo-1528605248644-14dd04022da1?w=800
