id,en,pt,img
transporte_A1_001,I need transportation.,Eu preciso de transporte.,https://images.unsplash.com/photo-1544620347-c4fd4a3d5957?w=800
transporte_A1_002,I am going downtown.,Eu estou indo para o centro.,https://images.unsplash.com/photo-1449965408869-eaa3f722e40d?w=800
transporte_A1_003,Where is the bus stop?,Onde fica o ponto de ônibus?,https://images.unsplash.com/photo-1474302770737-173ee21bab63?w=800
transporte_A1_004,I want to take the bus.,Eu quero pegar o ônibus.,https://images.unsplash.com/photo-1494515843206-f3117d3f51b7?w=800
transporte_A1_005,I need to buy a ticket.,Eu preciso comprar um bilhete.,https://images.unsplash.com/photo-1570125909232-eb263c188f7e?w=800
transporte_A1_006,How much is the fare?,Quanto custa a passagem?,https://images.unsplash.com/photo-1517649763962-0c623066013b?w=800
transporte_A1_007,Which line should I take?,Qual linha devo pegar?,https://images.unsplash.com/photo-1556122071-e404eaedb77f?w=800
transporte_A1_008,I am waiting for the bus.,Estou esperando o ônibus.,https://images.unsplash.com/photo-1473042904451-00171c69419d?w=800
transporte_A1_009,This bus is crowded.,Este ônibus está cheio.,https://images.unsplash.com/photo-1541744573515-478c4a0e1e20?w=800
transporte_A1_010,I need to get off here.,Eu preciso descer aqui.,https://images.unsplash.com/photo-1502877338535-766e1452684a?w=800
transporte_A1_011,I am taking the subway.,Estou pegando o metrô.,https://images.unsplash.com/photo-1544620347-c4fd4a3d5957?w=800
transporte_A1_012,Where is the subway station?,Onde fica a estação de metrô?,https://images.unsplash.com/photo-1449965408869-eaa3f722e40d?w=800
transporte_A1_013,I need a taxi.,Eu preciso de um táxi.,https://images.unsplash.com/photo-1474302770737-173ee21bab63?w=800
transporte_A1_014,Please take me to this address.,Por favor,https://images.unsplash.com/photo-1494515843206-f3117d3f51b7?w=800
transporte_A1_015,How long will it take?,Quanto tempo vai demorar?,https://images.unsplash.com/photo-1570125909232-eb263c188f7e?w=800
transporte_A1_016,I am using a ride app.,Estou usando um aplicativo de transporte.,https://images.unsplash.com/photo-1517649763962-0c623066013b?w=800
transporte_A1_017,The traffic is heavy.,O trânsito está intenso.,https://images.unsplash.com/photo-1556122071-e404eaedb77f?w=800
transporte_A1_018,I am close to my destination.,Estou perto do meu destino.,https://images.unsplash.com/photo-1473042904451-00171c69419d?w=800
transporte_A1_019,I have arrived.,Eu cheguei.,https://images.unsplash.com/photo-1541744573515-478c4a0e1e20?w=800
transporte_A1_020,Thank you for the ride.,Obrigado pela corrida.,https://images.unsplash.com/photo-1502877338535-766e1452684a?w=800
transporte_A2_021,I missed the bus this morning.,Perdi o ônibus esta manhã.,https://images.unsplash.com/photo-1544620347-c4fd4a3d5957?w=800
transporte_A2_022,I need to change lines.,Eu preciso trocar de linha.,https://images.unsplash.com/photo-1449965408869-eaa3f722e40d?w=800
transporte_A2_023,This route is faster.,Esta rota é mais rápida.,https://images.unsplash.com/photo-1474302770737-173ee21bab63?w=800
transporte_A2_024,The driver stopped suddenly.,O motorista parou de repente.,https://images.unsplash.com/photo-1494515843206-f3117d3f51b7?w=800
transporte_A2_025,There is an accident ahead.,Há um acidente à frente.,https://images.unsplash.com/photo-1570125909232-eb263c188f7e?w=800
transporte_A2_026,The road is under construction.,A estrada está em obras.,https://images.unsplash.com/photo-1517649763962-0c623066013b?w=800
transporte_A2_027,I need directions to get there.,Preciso de direções para chegar lá.,https://images.unsplash.com/photo-1556122071-e404eaedb77f?w=800
transporte_A2_028,This train is delayed.,Este trem está atrasado.,https://images.unsplash.com/photo-1473042904451-00171c69419d?w=800
transporte_A2_029,I will arrive late.,Vou chegar atrasado.,https://images.unsplash.com/photo-1541744573515-478c4a0e1e20?w=800
transporte_A2_030,I am stuck in traffic.,Estou preso no trânsito.,https://images.unsplash.com/photo-1502877338535-766e1452684a?w=800
transporte_A2_031,The fare increased this month.,A tarifa aumentou este mês.,https://images.unsplash.com/photo-1544620347-c4fd4a3d5957?w=800
transporte_A2_032,I forgot my transit card.,Esqueci meu cartão de transporte.,https://images.unsplash.com/photo-1449965408869-eaa3f722e40d?w=800
transporte_A2_033,I need to recharge my card.,Preciso recarregar meu cartão.,https://images.unsplash.com/photo-1474302770737-173ee21bab63?w=800
transporte_A2_034,The ride was comfortable.,A viagem foi confortável.,https://images.unsplash.com/photo-1494515843206-f3117d3f51b7?w=800
transporte_A2_035,The driver was polite.,O motorista foi educado.,https://images.unsplash.com/photo-1570125909232-eb263c188f7e?w=800
transporte_B1_036,I usually take public transportation to work.,Geralmente uso transporte público para ir ao trabalho.,https://images.unsplash.com/photo-1517649763962-0c623066013b?w=800
transporte_B1_037,Using public transport helps reduce traffic.,Usar transporte público ajuda a reduzir o trânsito.,https://images.unsplash.com/photo-1556122071-e404eaedb77f?w=800
transporte_B1_038,I chose a different route to save time.,Escolhi uma rota diferente para economizar tempo.,https://images.unsplash.com/photo-1473042904451-00171c69419d?w=800
transporte_B1_039,The delay caused me to miss my appointment.,O atraso me fez perder o compromisso.,https://images.unsplash.com/photo-1541744573515-478c4a0e1e20?w=800
transporte_B1_040,Traffic conditions can change quickly.,As condições do trânsito podem mudar rapidamente.,https://images.unsplash.com/photo-1502877338535-766e1452684a?w=800
transporte_B1_041,I rely on transportation apps every day.,Eu dependo de aplicativos de transporte todos os dias.,https://images.unsplash.com/photo-1544620347-c4fd4a3d5957?w=800
transporte_B1_042,The driver followed the safest route.,O motorista seguiu a rota mais segura.,https://images.unsplash.com/photo-1449965408869-eaa3f722e40d?w=800
transporte_B1_043,Transportation issues can be stressful.,Problemas de transporte podem ser estressantes.,https://images.unsplash.com/photo-1474302770737-173ee21bab63?w=800
transporte_B1_044,Planning ahead makes travel easier.,Planejar com antecedência facilita o deslocamento.,https://images.unsplash.com/photo-1494515843206-f3117d3f51b7?w=800
transporte_B1_045,I arrived later than expected.,Cheguei mais tarde do que o esperado.,https://images.unsplash.com/photo-1570125909232-eb263c188f7e?w=800
transporte_B1_046,Despite the delay, everything worked out.,https://images.unsplash.com/photo-1517649763962-0c623066013b?w=800
transporte_B1_047,Transportation is essential in daily life.,O transporte é essencial na vida diária.,https://images.unsplash.com/photo-1556122071-e404eaedb77f?w=800
transporte_B1_048,The trip helped me understand the city better.,A viagem me ajudou a entender melhor a cidade.,https://images.unsplash.com/photo-1473042904451-00171c69419d?w=800
transporte_B1_049,I will choose a better option next time.,Vou escolher uma opção melhor da próxima vez.,https://images.unsplash.com/photo-1541744573515-478c4a0e1e20?w=800
transporte_B1_050,I reached my destination safely.,Cheguei ao meu destino com segurança.,https://images.unsplash.com/photo-1502877338535-766e1452684a?w=800
