id,en,pt,img
hotel_A1_001,I need a hotel for tonight.,Eu preciso de um hotel para hoje à noite.,https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800
hotel_A1_002,I have a reservation.,Eu tenho uma reserva.,https://images.unsplash.com/photo-1501117716987-c8e1ecb210d0?w=800
hotel_A1_003,Is there a room available?,Há um quarto disponível?,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800
hotel_A1_004,I would like a single room.,Eu gostaria de um quarto individual.,https://images.unsplash.com/photo-1618773928121-c32242e63f39?w=800
hotel_A1_005,I would like a double room.,Eu gostaria de um quarto duplo.,https://images.unsplash.com/photo-1590490360182-c33d57733427?w=800
hotel_A1_006,How much is the room per night?,Quanto custa o quarto por noite?,https://images.unsplash.com/photo-1571896349842-33c89424de2d?w=800
hotel_A1_007,I am checking in.,Estou fazendo o check-in.,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800
hotel_A1_008,Can I see my room?,Posso ver o meu quarto?,https://images.unsplash.com/photo-1445019980597-93fa8acb246c?w=800
hotel_A1_009,The room is clean.,O quarto está limpo.,https://images.unsplash.com/photo-1611892440504-42a792e24d32?w=800
hotel_A1_010,The room is comfortable.,O quarto é confortável.,https://images.unsplash.com/photo-1596394516093-501ba68a0ba6?w=800
hotel_A1_011,I need the Wi-Fi password.,Eu preciso da senha do Wi-Fi.,https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800
hotel_A1_012,Where is the elevator?,Onde fica o elevador?,https://images.unsplash.com/photo-1501117716987-c8e1ecb210d0?w=800
hotel_A1_013,What time is breakfast?,Que horas é o café da manhã?,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800
hotel_A1_014,The bed is very comfortable.,A cama é muito confortável.,https://images.unsplash.com/photo-1618773928121-c32242e63f39?w=800
hotel_A1_015,I like this hotel.,Eu gosto deste hotel.,https://images.unsplash.com/photo-1590490360182-c33d57733427?w=800
hotel_A1_016,The bathroom is clean.,O banheiro está limpo.,https://images.unsplash.com/photo-1571896349842-33c89424de2d?w=800
hotel_A1_017,Thank you for your help.,Obrigado pela ajuda.,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800
hotel_A1_018,I am staying for two nights.,Vou ficar por duas noites.,https://images.unsplash.com/photo-1445019980597-93fa8acb246c?w=800
hotel_A1_019,Can I pay with a credit card?,Posso pagar com cartão de crédito?,https://images.unsplash.com/photo-1611892440504-42a792e24d32?w=800
hotel_A1_020,Everything is fine.,Está tudo bem.,https://images.unsplash.com/photo-1596394516093-501ba68a0ba6?w=800
hotel_A2_021,The room includes breakfast.,O quarto inclui café da manhã.,https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800
hotel_A2_022,I would like to change my room.,Eu gostaria de trocar de quarto.,https://images.unsplash.com/photo-1501117716987-c8e1ecb210d0?w=800
hotel_A2_023,There is a problem with the air conditioning.,Há um problema com o ar-condicionado.,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800
hotel_A2_024,The room is too noisy.,O quarto está muito barulhento.,https://images.unsplash.com/photo-1618773928121-c32242e63f39?w=800
hotel_A2_025,"I need extra towels, please.","Preciso de toalhas extras, por favor.",https://images.unsplash.com/photo-1590490360182-c33d57733427?w=800
hotel_A2_026,Can someone help me with my luggage?,Alguém pode me ajudar com a bagagem?,https://images.unsplash.com/photo-1571896349842-33c89424de2d?w=800
hotel_A2_027,The shower is not working.,O chuveiro não está funcionando.,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800
hotel_A2_028,I would like to extend my stay.,Eu gostaria de estender minha estadia.,https://images.unsplash.com/photo-1445019980597-93fa8acb246c?w=800
hotel_A2_029,The elevator is not working.,O elevador não está funcionando.,https://images.unsplash.com/photo-1611892440504-42a792e24d32?w=800
hotel_A2_030,I need to talk to the front desk.,Preciso falar com a recepção.,https://images.unsplash.com/photo-1596394516093-501ba68a0ba6?w=800
hotel_A2_031,Breakfast was very good.,O café da manhã foi muito bom.,https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800
hotel_A2_032,The room service is slow.,O serviço de quarto está lento.,https://images.unsplash.com/photo-1501117716987-c8e1ecb210d0?w=800
hotel_A2_033,My key card is not working.,Meu cartão-chave não está funcionando.,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800
hotel_A2_034,The room is smaller than expected.,O quarto é menor do que eu esperava.,https://images.unsplash.com/photo-1618773928121-c32242e63f39?w=800
hotel_A2_035,Can I get a late check-out?,Posso ter um check-out tardio?,https://images.unsplash.com/photo-1590490360182-c33d57733427?w=800
hotel_B1_036,I booked this room online last week.,Eu reservei este quarto online na semana passada.,https://images.unsplash.com/photo-1571896349842-33c89424de2d?w=800
hotel_B1_037,The room does not match the description.,O quarto não corresponde à descrição.,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800
hotel_B1_038,I would like to make a formal complaint.,Eu gostaria de fazer uma reclamação formal.,https://images.unsplash.com/photo-1445019980597-93fa8acb246c?w=800
hotel_B1_039,The staff was very polite and helpful.,A equipe foi muito educada e prestativa.,https://images.unsplash.com/photo-1611892440504-42a792e24d32?w=800
hotel_B1_040,There was an issue with my reservation.,Houve um problema com a minha reserva.,https://images.unsplash.com/photo-1596394516093-501ba68a0ba6?w=800
hotel_B1_041,I need a late check-out because my flight was delayed.,Preciso de check-out tardio porque meu voo atrasou.,https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800
hotel_B1_042,The problem was resolved quickly.,O problema foi resolvido rapidamente.,https://images.unsplash.com/photo-1501117716987-c8e1ecb210d0?w=800
hotel_B1_043,I had a very pleasant stay.,Tive uma estadia muito agradável.,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800
hotel_B1_044,I will definitely stay here again.,Com certeza ficarei aqui novamente.,https://images.unsplash.com/photo-1618773928121-c32242e63f39?w=800
hotel_B1_045,I am checking out now.,Estou fazendo o check-out agora.,https://images.unsplash.com/photo-1590490360182-c33d57733427?w=800
hotel_B1_046,The hotel met all my expectations.,O hotel atendeu a todas as minhas expectativas.,https://images.unsplash.com/photo-1571896349842-33c89424de2d?w=800
hotel_B1_047,The service quality was excellent.,A qualidade do serviço foi excelente.,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800
hotel_B1_048,I appreciate the attention from the staff.,Agradeço a atenção da equipe.,https://images.unsplash.com/photo-1445019980597-93fa8acb246c?w=800
hotel_B1_049,Everything was handled professionally.,Tudo foi tratado de forma profissional.,https://images.unsplash.com/photo-1611892440504-42a792e24d32?w=800
hotel_B1_050,I would recommend this hotel to others.,Eu recomendaria este hotel para outras pessoas.,https://images.unsplash.com/photo-1596394516093-501ba68a0ba6?w=800
