id,en,pt,img
escola_A1_001,I go to school every day.,Eu vou à escola todos os dias.,https://images.unsplash.com/photo-1503676260728-1c00da094a0b?w=800
escola_A1_002,I arrive early.,Eu chego cedo.,https://images.unsplash.com/photo-1523050854058-8df90110c7f1?w=800
escola_A1_003,I enter the classroom.,Eu entro na sala de aula.,https://images.unsplash.com/photo-1580582932707-520aed937b7b?w=800
escola_A1_004,I sit at my desk.,Eu sento na minha carteira.,https://images.unsplash.com/photo-1497633762265-9d179a990aa6?w=800
escola_A1_005,I listen to the teacher.,Eu escuto o professor.,https://images.unsplash.com/photo-1509062522246-3755977927d7?w=800
escola_A1_006,I open my notebook.,Eu abro meu caderno.,https://images.unsplash.com/photo-1427504494785-3a9ca7044f45?w=800
escola_A1_007,I take notes.,Eu faço anotações.,https://images.unsplash.com/photo-1546410531-bb4caa6b424d?w=800
escola_A1_008,I ask a question.,Eu faço uma pergunta.,https://images.unsplash.com/photo-1588072432836-e10032774350?w=800
escola_A1_009,I answer the question.,Eu respondo a pergunta.,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=800
escola_A1_010,I read the book.,Eu leio o livro.,https://images.unsplash.com/photo-1456513080510-7bf3a84b82f8?w=800
escola_A1_011,I write the answer.,Eu escrevo a resposta.,https://images.unsplash.com/photo-1434030216411-0b793f4b4173?w=800
escola_A1_012,I study for the test.,Eu estudo para a prova.,https://images.unsplash.com/photo-1448932223592-d1fc686e76ea?w=800
escola_A1_013,I feel confident.,Eu me sinto confiante.,https://images.unsplash.com/photo-1503676260728-1c00da094a0b?w=800
escola_A1_014,I feel nervous.,Eu me sinto nervoso.,https://images.unsplash.com/photo-1523050854058-8df90110c7f1?w=800
escola_A1_015,I take the test.,Eu faço a prova.,https://images.unsplash.com/photo-1580582932707-520aed937b7b?w=800
escola_A1_016,I finish the test.,Eu termino a prova.,https://images.unsplash.com/photo-1497633762265-9d179a990aa6?w=800
escola_A1_017,I wait for the result.,Eu espero o resultado.,https://images.unsplash.com/photo-1509062522246-3755977927d7?w=800
escola_A1_018,I learn something new.,Eu aprendo algo novo.,https://images.unsplash.com/photo-1427504494785-3a9ca7044f45?w=800
escola_A1_019,I leave the classroom.,Eu saio da sala de aula.,https://images.unsplash.com/photo-1546410531-bb4caa6b424d?w=800
escola_A1_020,I go home after class.,Eu vou para casa após a aula.,https://images.unsplash.com/photo-1588072432836-e10032774350?w=800
escola_A2_021,I usually review my notes at home.,Geralmente reviso minhas anotações em casa.,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=800
escola_A2_022,I study with my classmates.,Eu estudo com meus colegas.,https://images.unsplash.com/photo-1456513080510-7bf3a84b82f8?w=800
escola_A2_023,I ask the teacher for help.,Peço ajuda ao professor.,https://images.unsplash.com/photo-1434030216411-0b793f4b4173?w=800
escola_A2_024,I find this subject difficult.,Acho esta matéria difícil.,https://images.unsplash.com/photo-1448932223592-d1fc686e76ea?w=800
escola_A2_025,I practice every day.,Eu pratico todos os dias.,https://images.unsplash.com/photo-1503676260728-1c00da094a0b?w=800
escola_A2_026,I improve with practice.,Eu melhoro com a prática.,https://images.unsplash.com/photo-1523050854058-8df90110c7f1?w=800
escola_A2_027,I prepare for exams in advance.,Eu me preparo para provas com antecedência.,https://images.unsplash.com/photo-1580582932707-520aed937b7b?w=800
escola_A2_028,I manage my study time.,Eu administro meu tempo de estudo.,https://images.unsplash.com/photo-1497633762265-9d179a990aa6?w=800
escola_A2_029,I feel more confident now.,Eu me sinto mais confiante agora.,https://images.unsplash.com/photo-1509062522246-3755977927d7?w=800
escola_A2_030,I participate in class discussions.,Eu participo das discussões em sala.,https://images.unsplash.com/photo-1427504494785-3a9ca7044f45?w=800
escola_A2_031,I complete my homework on time.,Eu entrego a lição no prazo.,https://images.unsplash.com/photo-1546410531-bb4caa6b424d?w=800
escola_A2_032,I learn from my mistakes.,Eu aprendo com meus erros.,https://images.unsplash.com/photo-1588072432836-e10032774350?w=800
escola_A2_033,I ask for feedback.,Eu peço feedback.,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=800
escola_A2_034,I stay focused during class.,Eu mantenho o foco durante a aula.,https://images.unsplash.com/photo-1456513080510-7bf3a84b82f8?w=800
escola_A2_035,I feel prepared for the test.,Eu me sinto preparado para a prova.,https://images.unsplash.com/photo-1434030216411-0b793f4b4173?w=800
escola_B1_036,Regular study habits improve learning.,Hábitos regulares de estudo melhoram o aprendizado.,https://images.unsplash.com/photo-1448932223592-d1fc686e76ea?w=800
escola_B1_037,I developed better study strategies.,Desenvolvi melhores estratégias de estudo.,https://images.unsplash.com/photo-1503676260728-1c00da094a0b?w=800
escola_B1_038,Understanding the subject takes time and effort.,Entender a matéria exige tempo e esforço.,https://images.unsplash.com/photo-1523050854058-8df90110c7f1?w=800
escola_B1_039,I became more confident speaking in class.,Tornei-me mais confiante ao falar em sala.,https://images.unsplash.com/photo-1580582932707-520aed937b7b?w=800
escola_B1_040,Learning requires patience and practice.,Aprender exige paciência e prática.,https://images.unsplash.com/photo-1497633762265-9d179a990aa6?w=800
escola_B1_041,I learned to organize my study routine.,Aprendi a organizar minha rotina de estudos.,https://images.unsplash.com/photo-1509062522246-3755977927d7?w=800
escola_B1_042,Asking questions helps clarify doubts.,Fazer perguntas ajuda a esclarecer dúvidas.,https://images.unsplash.com/photo-1427504494785-3a9ca7044f45?w=800
escola_B1_043,I improved my academic performance.,Melhorei meu desempenho acadêmico.,https://images.unsplash.com/photo-1546410531-bb4caa6b424d?w=800
escola_B1_044,I feel motivated to continue learning.,Sinto-me motivado a continuar aprendendo.,https://images.unsplash.com/photo-1588072432836-e10032774350?w=800
escola_B1_045,Education opens new opportunities.,A educação abre novas oportunidades.,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=800
escola_B1_046,I learned to overcome academic challenges.,Aprendi a superar desafios acadêmicos.,https://images.unsplash.com/photo-1456513080510-7bf3a84b82f8?w=800
escola_B1_047,Consistency is key to academic success.,Consistência é a chave do sucesso acadêmico.,https://images.unsplash.com/photo-1434030216411-0b793f4b4173?w=800
escola_B1_048,My effort reflected in better results.,Meu esforço se refletiu em melhores resultados.,https://images.unsplash.com/photo-1448932223592-d1fc686e76ea?w=800
escola_B1_049,I gained confidence through learning.,Ganhei confiança por meio do aprendizado.,https://images.unsplash.com/photo-1503676260728-1c00da094a0b?w=800
escola_B1_050,Studying helped me grow personally.,Estudar me ajudou a crescer pessoalmente.,https://images.unsplash.com/photo-1523050854058-8df90110c7f1?w=800
