id,en,pt,img
cotidiano_001,I wake up early.,Eu acordo cedo.,https://images.unsplash.com/photo-1506126613408-eca07ce68773?w=800
cotidiano_002,I brush my teeth.,Eu escovo os dentes.,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?w=800
cotidiano_003,I take a shower.,Eu tomo banho.,https://images.unsplash.com/photo-1586796670566-33e5b6e2d4b2?w=800
cotidiano_004,I get dressed.,Eu me visto.,https://images.unsplash.com/photo-1520975916090-3105956dac38?w=800
cotidiano_005,I have breakfast.,Eu tomo café da manhã.,https://images.unsplash.com/photo-1504754524776-8f4f37790ca0?w=800
cotidiano_006,I drink coffee.,Eu bebo café.,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=800
cotidiano_007,I go to work.,Eu vou para o trabalho.,https://images.unsplash.com/photo-1521737604893-d14cc237f11d?w=800
cotidiano_008,I take the bus.,Eu pego o ônibus.,https://images.unsplash.com/photo-1544620347-c4fd4a3d5957?w=800
cotidiano_009,I arrive at work.,Eu chego ao trabalho.,https://images.unsplash.com/photo-1492724441997-5dc865305da7?w=800
cotidiano_010,I work all day.,Eu trabalho o dia todo.,https://images.unsplash.com/photo-1497032628192-86f99bcd76bc?w=800
cotidiano_011,I answer emails.,Eu respondo e-mails.,https://images.unsplash.com/photo-1517245386807-bb43f82c33c4?w=800
cotidiano_012,I take a break.,Eu faço uma pausa.,https://images.unsplash.com/photo-1506784983877-45594efa4cbe?w=800
cotidiano_013,I have lunch.,Eu almoço.,https://images.unsplash.com/photo-1499028344343-cd173ffc68a9?w=800
cotidiano_014,I drink water.,Eu bebo água.,https://images.unsplash.com/photo-1523362628745-0c100150b504?w=800
cotidiano_015,I go back home.,Eu volto para casa.,https://images.unsplash.com/photo-1505691938895-1758d7feb511?w=800
cotidiano_016,I relax at home.,Eu relaxo em casa.,https://images.unsplash.com/photo-1505691723518-36a5ac3b2d9d?w=800
cotidiano_017,I watch TV.,Eu assisto TV.,https://images.unsplash.com/photo-1524985069026-dd778a71c7b4?w=800
cotidiano_018,I listen to music.,Eu escuto música.,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=800
cotidiano_019,I use my phone.,Eu uso meu celular.,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=800
cotidiano_020,I cook dinner.,Eu preparo o jantar.,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=800
cotidiano_021,I eat dinner.,Eu janto.,https://images.unsplash.com/photo-1551218808-94e220e084d2?w=800
cotidiano_022,I wash the dishes.,Eu lavo a louça.,https://images.unsplash.com/photo-1600891964599-f61ba0e24092?w=800
cotidiano_023,I clean the house.,Eu limpo a casa.,https://images.unsplash.com/photo-1581579186898-c1bfa9c1f3a7?w=800
cotidiano_024,I sweep the floor.,Eu varro o chão.,https://images.unsplash.com/photo-1581578017424-4c8a6f5a4b2c?w=800
cotidiano_025,I make my bed.,Eu arrumo minha cama.,https://images.unsplash.com/photo-1519710164239-da123dc03ef4?w=800
cotidiano_026,I do the laundry.,Eu lavo roupa.,https://images.unsplash.com/photo-1582738411706-bfc8c5e0e7e5?w=800
cotidiano_027,I iron my clothes.,Eu passo roupa.,https://images.unsplash.com/photo-1598032895397-b9472444bf93?w=800
