id,en,pt,img
aeroporto_001,I arrive at the airport.,Eu chego ao aeroporto.,https://images.unsplash.com/photo-1529070538774-1843cb3265df?w=800
aeroporto_002,I check my ticket.,Eu verifico minha passagem.,https://images.unsplash.com/photo-1502920917128-1aa500764b1c?w=800
aeroporto_003,I go to the check-in counter.,Eu vou ao balcão de check-in.,https://images.unsplash.com/photo-1581553673739-c4906b5d0de8?w=800
aeroporto_004,I show my passport.,Eu mostro meu passaporte.,https://images.unsplash.com/photo-1526304640581-d334cdbbf45e?w=800
aeroporto_005,I check my luggage.,Eu despacho minha bagagem.,https://images.unsplash.com/photo-1518779578993-ec3579fee39f?w=800
aeroporto_006,I receive my boarding pass.,Eu recebo meu cartão de embarque.,https://images.unsplash.com/photo-1502920917128-1aa500764b1c?w=800
aeroporto_007,I go through security.,Eu passo pela segurança.,https://images.unsplash.com/photo-1544986581-efac024faf62?w=800
aeroporto_008,I remove my shoes.,Eu tiro meus sapatos.,https://images.unsplash.com/photo-1544986581-efac024faf62?w=800
aeroporto_009,I wait at the gate.,Eu espero no portão.,https://images.unsplash.com/photo-1474302770737-173ee21bab63?w=800
aeroporto_010,I listen to announcements.,Eu escuto os anúncios.,https://images.unsplash.com/photo-1474302770737-173ee21bab63?w=800
aeroporto_011,I board the plane.,Eu embarco no avião.,https://images.unsplash.com/photo-1436491865332-7a61a109cc05?w=800
aeroporto_012,I find my seat.,Eu encontro meu assento.,https://images.unsplash.com/photo-1436491865332-7a61a109cc05?w=800
aeroporto_013,I fasten my seatbelt.,Eu coloco o cinto de segurança.,https://images.unsplash.com/photo-1436491865332-7a61a109cc05?w=800
aeroporto_014,The plane takes off.,O avião decola.,https://images.unsplash.com/photo-1494412685616-a5d310fbb07d?w=800
aeroporto_015,I look out the window.,Eu olho pela janela.,https://images.unsplash.com/photo-1494412685616-a5d310fbb07d?w=800
aeroporto_016,I feel excited about the trip.,Eu me sinto animado com a viagem.,https://images.unsplash.com/photo-1494412685616-a5d310fbb07d?w=800
aeroporto_017,The flight is smooth.,O voo é tranquilo.,https://images.unsplash.com/photo-1436491865332-7a61a109cc05?w=800
aeroporto_018,I talk to the passenger next to me.,Eu converso com o passageiro ao meu lado.,https://images.unsplash.com/photo-1436491865332-7a61a109cc05?w=800
aeroporto_019,We land safely.,Nós pousamos com segurança.,https://images.unsplash.com/photo-1494412685616-a5d310fbb07d?w=800
aeroporto_020,I leave the plane.,Eu saio do avião.,https://images.unsplash.com/photo-1529070538774-1843cb3265df?w=800
aeroporto_021,I go to baggage claim.,Eu vou para retirar a bagagem.,https://images.unsplash.com/photo-1518779578993-ec3579fee39f?w=800
aeroporto_022,I wait for my suitcase.,Eu espero minha mala.,https://images.unsplash.com/photo-1518779578993-ec3579fee39f?w=800
aeroporto_023,I find my luggage.,Eu encontro minha bagagem.,https://images.unsplash.com/photo-1518779578993-ec3579fee39f?w=800
aeroporto_024,I go through customs.,Eu passo pela alfândega.,https://images.unsplash.com/photo-1526304640581-d334cdbbf45e?w=800
aeroporto_025,I exit the airport.,Eu saio do aeroporto.,https://images.unsplash.com/photo-1529070538774-1843cb3265df?w=800
aeroporto_026,I take a taxi to the hotel.,Eu pego um táxi para o hotel.,https://images.unsplash.com/photo-1449965408869-eaa3f722e40d?w=800
aeroporto_027,I exchange money at the airport.,Eu troco dinheiro no aeroporto.,https://images.unsplash.com/photo-1565372911127-6c2f3f1f1e1e?w=800
aeroporto_028,I buy a coffee before boarding.,Eu compro um café antes do embarque.,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=800
aeroporto_029,I check the departure board.,Eu verifico o painel de partidas.,https://images.unsplash.com/photo-1474302770737-173ee21bab63?w=800
aeroporto_030,My flight is delayed.,Meu voo está atrasado.,https://images.unsplash.com/photo-1474302770737-173ee21bab63?w=800
aeroporto_031,I ask for information at the desk.,Eu peço informações no balcão.,https://images.unsplash.com/photo-1581553673739-c4906b5d0de8?w=800
aeroporto_032,I change my flight.,Eu troco meu voo.,https://images.unsplash.com/photo-1502920917128-1aa500764b1c?w=800
aeroporto_033,I travel with my family.,Eu viajo com minha família.,https://images.unsplash.com/photo-1494412685616-a5d310fbb07d?w=800
aeroporto_034,I carry only hand luggage.,Eu levo apenas bagagem de mão.,https://images.unsplash.com/photo-1518779578993-ec3579fee39f?w=800
aeroporto_035,I prefer window seats.,Eu prefiro assentos na janela.,https://images.unsplash.com/photo-1436491865332-7a61a109cc05?w=800
aeroporto_036,I feel nervous before flying.,Eu fico nervoso antes de voar.,https://images.unsplash.com/photo-1436491865332-7a61a109cc05?w=800
aeroporto_037,I relax during the flight.,Eu relaxo durante o voo.,https://images.unsplash.com/photo-1436491865332-7a61a109cc05?w=800
aeroporto_038,I watch a movie on the plane.,Eu assisto a um filme no avião.,https://images.unsplash.com/photo-1436491865332-7a61a109cc05?w=800
aeroporto_039,I fill out a customs form.,Eu preencho um formulário da alfândega.,https://images.unsplash.com/photo-1526304640581-d334cdbbf45e?w=800
aeroporto_040,I travel abroad for work.,Eu viajo para o exterior a trabalho.,https://images.unsplash.com/photo-1494412685616-a5d310fbb07d?w=800
aeroporto_041,I travel to explore new cultures.,Eu viajo para explorar novas culturas.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_042,I plan my trip in advance.,Eu planejo minha viagem com antecedência.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_043,I book my tickets online.,Eu reservo minhas passagens online.,https://images.unsplash.com/photo-1502920917128-1aa500764b1c?w=800
aeroporto_044,I pack carefully for my trip.,Eu arrumo minhas malas com cuidado.,https://images.unsplash.com/photo-1518779578993-ec3579fee39f?w=800
aeroporto_045,I research my destination.,Eu pesquiso meu destino.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_046,I make a travel itinerary.,Eu faço um roteiro de viagem.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_047,I try local food during my trip.,Eu experimento comida local durante minha viagem.,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=800
aeroporto_048,I take photos of landmarks.,Eu tiro fotos de pontos turísticos.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_049,I enjoy discovering new places.,Eu gosto de descobrir novos lugares.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_050,I return home with good memories.,Eu volto para casa com boas lembranças.,https://images.unsplash.com/photo-1494412685616-a5d310fbb07d?w=800
aeroporto_051,Traveling makes me more independent.,Viajar me torna mais independente.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_052,I adapt to different time zones.,Eu me adapto a fusos horários diferentes.,https://images.unsplash.com/photo-1494412685616-a5d310fbb07d?w=800
aeroporto_053,I learn basic phrases of the local language.,Eu aprendo frases básicas do idioma local.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_054,I respect local customs and traditions.,Eu respeito costumes e tradições locais.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_055,I manage my travel budget carefully.,Eu administro meu orçamento de viagem com cuidado.,https://images.unsplash.com/photo-1565372911127-6c2f3f1f1e1e?w=800
aeroporto_056,I use maps to navigate the city.,Eu uso mapas para me orientar na cidade.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_057,I sometimes get lost in new places.,Às vezes eu me perco em lugares novos.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_058,I ask locals for directions.,Eu peço informações aos moradores.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_059,I enjoy walking around historical sites.,Eu gosto de caminhar por locais históricos.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_060,I visit museums and monuments.,Eu visito museus e monumentos.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_061,I take public transportation abroad.,Eu uso transporte público no exterior.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_062,I stay in a hotel near the city center.,Eu fico em um hotel perto do centro.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_063,I try traditional dishes.,Eu experimento pratos tradicionais.,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=800
aeroporto_064,I buy souvenirs for my family.,Eu compro lembranças para minha família.,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=800
aeroporto_065,I share travel photos on social media.,Eu compartilho fotos da viagem nas redes sociais.,https://images.unsplash.com/photo-1519389950473-47ba0277781c?w=800
aeroporto_066,I relax and enjoy the atmosphere.,Eu relaxo e aproveito o ambiente.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_067,I meet new people during my trips.,Eu conheço novas pessoas durante minhas viagens.,https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=800
aeroporto_068,I make friends from different countries.,Eu faço amigos de países diferentes.,https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=800
aeroporto_069,I improve my English while traveling.,Eu melhoro meu inglês enquanto viajo.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_070,I become more confident abroad.,Eu me torno mais confiante no exterior.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_071,Traveling broadens my perspective.,Viajar amplia minha perspectiva.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_072,I learn to solve unexpected problems.,Eu aprendo a resolver problemas inesperados.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_073,I stay calm during travel delays.,Eu mantenho a calma durante atrasos.,https://images.unsplash.com/photo-1474302770737-173ee21bab63?w=800
aeroporto_074,I adjust my plans when necessary.,Eu ajusto meus planos quando necessário.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_075,I value cultural experiences more than shopping.,Eu valorizo experiências culturais mais do que compras.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_076,I feel grateful for the opportunity to travel.,Eu me sinto grato pela oportunidade de viajar.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
aeroporto_077,I keep my documents safe during the trip.,Eu mantenho meus documentos seguros durante a viagem.,https://images.unsplash.com/photo-1526304640581-d334cdbbf45e?w=800
