id,en,pt,img
compras_A1_001,I enter the store.,Eu entro na loja.,https://images.unsplash.com/photo-1441986300917-64674bd600d8?w=800
compras_A1_002,I look at the products.,Eu olho os produtos.,https://images.unsplash.com/photo-1472851294608-062f824d29cc?w=800
compras_A1_003,I like this shirt.,Eu gosto desta camisa.,https://images.unsplash.com/photo-1555529669-e69e7aa0ba9a?w=800
compras_A1_004,I check the price.,Eu verifico o preço.,https://images.unsplash.com/photo-1483985988355-763728e1935b?w=800
compras_A1_005,It is too expensive.,Está muito caro.,https://images.unsplash.com/photo-1607082349566-187342175e2f?w=800
compras_A1_006,It is cheap.,Está barato.,https://images.unsplash.com/photo-1556742049-0cfed4f6a45d?w=800
compras_A1_007,I try it on.,Eu experimento.,https://images.unsplash.com/photo-1557821552-17105176677c?w=800
compras_A1_008,It fits well.,Serve bem.,https://images.unsplash.com/photo-1534452203293-494d7ddbf7e0?w=800
compras_A1_009,I will buy it.,Eu vou comprar.,https://images.unsplash.com/photo-1562157873-818bc0726f68?w=800
compras_A1_010,I go to the cashier.,Eu vou ao caixa.,https://images.unsplash.com/photo-1573855619003-97b4799dcd8b?w=800
compras_A1_011,I pay in cash.,Eu pago em dinheiro.,https://images.unsplash.com/photo-1441986300917-64674bd600d8?w=800
compras_A1_012,I pay with a card.,Eu pago com cartão.,https://images.unsplash.com/photo-1472851294608-062f824d29cc?w=800
compras_A1_013,I need a bag.,Eu preciso de uma sacola.,https://images.unsplash.com/photo-1555529669-e69e7aa0ba9a?w=800
compras_A1_014,Can I have the receipt?,Posso pegar o recibo?,https://images.unsplash.com/photo-1483985988355-763728e1935b?w=800
compras_A1_015,Thank you for your purchase.,Obrigado pela sua compra.,https://images.unsplash.com/photo-1607082349566-187342175e2f?w=800
compras_A1_016,I leave the store.,Eu saio da loja.,https://images.unsplash.com/photo-1556742049-0cfed4f6a45d?w=800
compras_A1_017,I want to return this item.,Quero devolver este item.,https://images.unsplash.com/photo-1557821552-17105176677c?w=800
compras_A1_018,It is damaged.,Está danificado.,https://images.unsplash.com/photo-1534452203293-494d7ddbf7e0?w=800
compras_A1_019,I need a different size.,Preciso de outro tamanho.,https://images.unsplash.com/photo-1562157873-818bc0726f68?w=800
compras_A1_020,I exchange the product.,Eu troco o produto.,https://images.unsplash.com/photo-1573855619003-97b4799dcd8b?w=800
compras_A2_021,I usually compare prices before buying.,Eu geralmente comparo preços antes de comprar.,https://images.unsplash.com/photo-1441986300917-64674bd600d8?w=800
compras_A2_022,I look for discounts and promotions.,Eu procuro descontos e promoções.,https://images.unsplash.com/photo-1472851294608-062f824d29cc?w=800
compras_A2_023,I prefer shopping online.,Eu prefiro comprar online.,https://images.unsplash.com/photo-1555529669-e69e7aa0ba9a?w=800
compras_A2_024,I check customer reviews.,Eu verifico avaliações de clientes.,https://images.unsplash.com/photo-1483985988355-763728e1935b?w=800
compras_A2_025,Delivery takes two days.,A entrega leva dois dias.,https://images.unsplash.com/photo-1607082349566-187342175e2f?w=800
compras_A2_026,I track my order online.,Eu acompanho meu pedido online.,https://images.unsplash.com/photo-1556742049-0cfed4f6a45d?w=800
compras_A2_027,I received the wrong item.,Recebi o item errado.,https://images.unsplash.com/photo-1557821552-17105176677c?w=800
compras_A2_028,I contacted customer service.,Eu entrei em contato com o atendimento.,https://images.unsplash.com/photo-1534452203293-494d7ddbf7e0?w=800
compras_A2_029,I asked for a refund.,Eu pedi reembolso.,https://images.unsplash.com/photo-1562157873-818bc0726f68?w=800
compras_A2_030,I saved money on this purchase.,Eu economizei dinheiro nesta compra.,https://images.unsplash.com/photo-1573855619003-97b4799dcd8b?w=800
compras_B1_031,Smart shopping requires planning.,Comprar com inteligência exige planejamento.,https://images.unsplash.com/photo-1441986300917-64674bd600d8?w=800
compras_B1_032,I learned to manage my expenses.,Aprendi a administrar minhas despesas.,https://images.unsplash.com/photo-1472851294608-062f824d29cc?w=800
compras_B1_033,Comparing prices helps avoid overspending.,Comparar preços ajuda a evitar gastos excessivos.,https://images.unsplash.com/photo-1555529669-e69e7aa0ba9a?w=800
compras_B1_034,I evaluate quality before making a decision.,Eu avalio a qualidade antes de decidir.,https://images.unsplash.com/photo-1483985988355-763728e1935b?w=800
compras_B1_035,Online shopping offers convenience and variety.,Compras online oferecem conveniência e variedade.,https://images.unsplash.com/photo-1607082349566-187342175e2f?w=800
compras_B1_036,Customer service resolved my issue quickly.,O atendimento resolveu meu problema rapidamente.,https://images.unsplash.com/photo-1556742049-0cfed4f6a45d?w=800
compras_B1_037,Reading reviews influenced my decision.,Ler avaliações influenciou minha decisão.,https://images.unsplash.com/photo-1557821552-17105176677c?w=800
compras_B1_038,I became more conscious of my spending habits.,Tornei-me mais consciente dos meus hábitos de consumo.,https://images.unsplash.com/photo-1534452203293-494d7ddbf7e0?w=800
compras_B1_039,Planning purchases prevents financial stress.,Planejar compras evita estresse financeiro.,https://images.unsplash.com/photo-1562157873-818bc0726f68?w=800
compras_B1_040,I learned to balance needs and wants.,Aprendi a equilibrar necessidades e desejos.,https://images.unsplash.com/photo-1573855619003-97b4799dcd8b?w=800
