id,en,pt,img
saude_A1_001,I feel good today.,Eu me sinto bem hoje.,https://images.unsplash.com/photo-1532938911079-1b06ac7ceec7?w=800
saude_A1_002,I am not feeling well.,Eu não estou me sentindo bem.,https://images.unsplash.com/photo-1505751172876-fa1923c5c528?w=800
saude_A1_003,I have a headache.,Eu estou com dor de cabeça.,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=800
saude_A1_004,I have a cold.,Eu estou resfriado.,https://images.unsplash.com/photo-1498837167922-ddd27525d352?w=800
saude_A1_005,I feel tired.,Eu me sinto cansado.,https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?w=800
saude_A1_006,I need to rest.,Eu preciso descansar.,https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?w=800
saude_A1_007,I drink water every day.,Eu bebo água todos os dias.,https://images.unsplash.com/photo-1559757175-5700dde675bc?w=800
saude_A1_008,I eat healthy food.,Eu como comida saudável.,https://images.unsplash.com/photo-1486218119243-13883505764c?w=800
saude_A1_009,I exercise regularly.,Eu me exercito regularmente.,https://images.unsplash.com/photo-1538805060514-97d9cc17730c?w=800
saude_A1_010,I go for a walk.,Eu faço uma caminhada.,https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?w=800
saude_A1_011,I sleep eight hours.,Eu durmo oito horas.,https://images.unsplash.com/photo-1532938911079-1b06ac7ceec7?w=800
saude_A1_012,I take vitamins.,Eu tomo vitaminas.,https://images.unsplash.com/photo-1505751172876-fa1923c5c528?w=800
saude_A1_013,I feel stressed.,Eu me sinto estressado.,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=800
saude_A1_014,I try to relax.,Eu tento relaxar.,https://images.unsplash.com/photo-1498837167922-ddd27525d352?w=800
saude_A1_015,I visit the doctor.,Eu visito o médico.,https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?w=800
saude_A1_016,I need medicine.,Eu preciso de remédio.,https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?w=800
saude_A1_017,I feel better now.,Eu me sinto melhor agora.,https://images.unsplash.com/photo-1559757175-5700dde675bc?w=800
saude_A1_018,I follow the treatment.,Eu sigo o tratamento.,https://images.unsplash.com/photo-1486218119243-13883505764c?w=800
saude_A1_019,I avoid junk food.,Eu evito comida junk food.,https://images.unsplash.com/photo-1538805060514-97d9cc17730c?w=800
saude_A1_020,I take care of myself.,Eu cuido de mim.,https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?w=800
saude_A2_021,I try to maintain a balanced diet.,Eu tento manter uma dieta equilibrada.,https://images.unsplash.com/photo-1532938911079-1b06ac7ceec7?w=800
saude_A2_022,I schedule regular check-ups.,Eu agendo exames regulares.,https://images.unsplash.com/photo-1505751172876-fa1923c5c528?w=800
saude_A2_023,I reduce sugar consumption.,Eu reduzo o consumo de açúcar.,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=800
saude_A2_024,I manage stress through exercise.,Eu controlo o estresse através de exercícios.,https://images.unsplash.com/photo-1498837167922-ddd27525d352?w=800
saude_A2_025,I practice deep breathing.,Eu pratico respiração profunda.,https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?w=800
saude_A2_026,I monitor my blood pressure.,Eu monitoro minha pressão arterial.,https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?w=800
saude_A2_027,I feel anxious sometimes.,Eu me sinto ansioso às vezes.,https://images.unsplash.com/photo-1559757175-5700dde675bc?w=800
saude_A2_028,I talk to a professional.,Eu converso com um profissional.,https://images.unsplash.com/photo-1486218119243-13883505764c?w=800
saude_A2_029,I improve my habits gradually.,Eu melhoro meus hábitos gradualmente.,https://images.unsplash.com/photo-1538805060514-97d9cc17730c?w=800
saude_A2_030,I focus on mental health.,Eu foco na saúde mental.,https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?w=800
saude_A2_031,I stretch before exercising.,Eu me alongo antes de me exercitar.,https://images.unsplash.com/photo-1532938911079-1b06ac7ceec7?w=800
saude_A2_032,I avoid smoking.,Eu evito fumar.,https://images.unsplash.com/photo-1505751172876-fa1923c5c528?w=800
saude_A2_033,I drink less soda.,Eu bebo menos refrigerante.,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=800
saude_A2_034,I keep a healthy routine.,Eu mantenho uma rotina saudável.,https://images.unsplash.com/photo-1498837167922-ddd27525d352?w=800
saude_A2_035,I listen to my body.,Eu escuto meu corpo.,https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?w=800
saude_B1_036,Healthy habits prevent long-term diseases.,Hábitos saudáveis previnem doenças a longo prazo.,https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?w=800
saude_B1_037,Mental health is as important as physical health.,Saúde mental é tão importante quanto saúde física.,https://images.unsplash.com/photo-1559757175-5700dde675bc?w=800
saude_B1_038,Regular exercise improves overall well-being.,Exercícios regulares melhoram o bem-estar geral.,https://images.unsplash.com/photo-1486218119243-13883505764c?w=800
saude_B1_039,Preventive care reduces medical risks.,Cuidados preventivos reduzem riscos médicos.,https://images.unsplash.com/photo-1538805060514-97d9cc17730c?w=800
saude_B1_040,A balanced lifestyle increases life expectancy.,Um estilo de vida equilibrado aumenta a expectativa de vida.,https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?w=800
saude_B1_041,Managing stress improves quality of life.,Controlar o estresse melhora a qualidade de vida.,https://images.unsplash.com/photo-1532938911079-1b06ac7ceec7?w=800
saude_B1_042,Awareness leads to healthier decisions.,Consciência leva a decisões mais saudáveis.,https://images.unsplash.com/photo-1505751172876-fa1923c5c528?w=800
saude_B1_043,Preventing illness is better than treating it.,Prevenir doenças é melhor do que tratá-las.,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=800
saude_B1_044,Small changes create lasting improvements.,Pequenas mudanças criam melhorias duradouras.,https://images.unsplash.com/photo-1498837167922-ddd27525d352?w=800
saude_B1_045,Healthy routines require discipline.,Rotinas saudáveis exigem disciplina.,https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?w=800
saude_B1_046,Self-care strengthens emotional resilience.,Autocuidado fortalece a resiliência emocional.,https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?w=800
saude_B1_047,Regular check-ups ensure early diagnosis.,Exames regulares garantem diagnóstico precoce.,https://images.unsplash.com/photo-1559757175-5700dde675bc?w=800
saude_B1_048,Physical activity boosts mental clarity.,Atividade física melhora a clareza mental.,https://images.unsplash.com/photo-1486218119243-13883505764c?w=800
saude_B1_049,A strong immune system depends on lifestyle.,Um sistema imunológico forte depende do estilo de vida.,https://images.unsplash.com/photo-1538805060514-97d9cc17730c?w=800
saude_B1_050,Taking responsibility for health brings long-term benefits.,Assumir responsabilidade pela saúde traz benefícios a longo prazo.,https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?w=800
