id,en,pt,img
trabalho_A1_001,I go to work every day.,Eu vou ao trabalho todos os dias.,https://images.unsplash.com/photo-1497215728101-856f4ea42174?w=800
trabalho_A1_002,I arrive at the office early.,Eu chego cedo ao escritório.,https://images.unsplash.com/photo-1521737604893-d14cc237f11d?w=800
trabalho_A1_003,I start my work at nine.,Eu começo meu trabalho às nove.,https://images.unsplash.com/photo-1504384308090-c894fdcc538d?w=800
trabalho_A1_004,I check my emails.,Eu verifico meus e-mails.,https://images.unsplash.com/photo-1553877522-43269d4ea984?w=800
trabalho_A1_005,I talk to my coworkers.,Eu converso com meus colegas.,https://images.unsplash.com/photo-1522071820081-009f0129c71c?w=800
trabalho_A1_006,I have a meeting.,Eu tenho uma reunião.,https://images.unsplash.com/photo-1600880292203-757bb62b4baf?w=800
trabalho_A1_007,I take notes during meetings.,Eu faço anotações durante as reuniões.,https://images.unsplash.com/photo-1542744173-8e7e53415bb0?w=800
trabalho_A1_008,I work on my tasks.,Eu trabalho nas minhas tarefas.,https://images.unsplash.com/photo-1517245386807-bb43f82c33c4?w=800
trabalho_A1_009,I need help with this task.,Preciso de ajuda com esta tarefa.,https://images.unsplash.com/photo-1560472354-b33ff0c44a43?w=800
trabalho_A1_010,I ask questions.,Eu faço perguntas.,https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?w=800
trabalho_A1_011,I take a short break.,Eu faço uma pequena pausa.,https://images.unsplash.com/photo-1497215728101-856f4ea42174?w=800
trabalho_A1_012,I drink coffee.,Eu tomo café.,https://images.unsplash.com/photo-1521737604893-d14cc237f11d?w=800
trabalho_A1_013,I focus on my work.,Eu me concentro no meu trabalho.,https://images.unsplash.com/photo-1504384308090-c894fdcc538d?w=800
trabalho_A1_014,I finish my tasks.,Eu termino minhas tarefas.,https://images.unsplash.com/photo-1553877522-43269d4ea984?w=800
trabalho_A1_015,I check my schedule.,Eu verifico minha agenda.,https://images.unsplash.com/photo-1522071820081-009f0129c71c?w=800
trabalho_A1_016,I meet my manager.,Eu encontro meu gerente.,https://images.unsplash.com/photo-1600880292203-757bb62b4baf?w=800
trabalho_A1_017,I follow instructions.,Eu sigo instruções.,https://images.unsplash.com/photo-1542744173-8e7e53415bb0?w=800
trabalho_A1_018,I complete my work on time.,Eu concluo meu trabalho no prazo.,https://images.unsplash.com/photo-1517245386807-bb43f82c33c4?w=800
trabalho_A1_019,I leave the office.,Eu saio do escritório.,https://images.unsplash.com/photo-1560472354-b33ff0c44a43?w=800
trabalho_A1_020,I go home after work.,Eu vou para casa depois do trabalho.,https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?w=800
trabalho_A2_021,I have several tasks to finish today.,Tenho várias tarefas para terminar hoje.,https://images.unsplash.com/photo-1497215728101-856f4ea42174?w=800
trabalho_A2_022,I need to meet a deadline.,Preciso cumprir um prazo.,https://images.unsplash.com/photo-1521737604893-d14cc237f11d?w=800
trabalho_A2_023,I work better in a quiet environment.,Trabalho melhor em um ambiente silencioso.,https://images.unsplash.com/photo-1504384308090-c894fdcc538d?w=800
trabalho_A2_024,I discuss ideas with my team.,Eu discuto ideias com minha equipe.,https://images.unsplash.com/photo-1553877522-43269d4ea984?w=800
trabalho_A2_025,I give feedback to my coworkers.,Dou feedback aos meus colegas.,https://images.unsplash.com/photo-1522071820081-009f0129c71c?w=800
trabalho_A2_026,I attend meetings regularly.,Participo de reuniões regularmente.,https://images.unsplash.com/photo-1600880292203-757bb62b4baf?w=800
trabalho_A2_027,I organize my tasks by priority.,Organizo minhas tarefas por prioridade.,https://images.unsplash.com/photo-1542744173-8e7e53415bb0?w=800
trabalho_A2_028,I ask for clarification when needed.,Peço esclarecimentos quando necessário.,https://images.unsplash.com/photo-1517245386807-bb43f82c33c4?w=800
trabalho_A2_029,I handle work pressure well.,Lido bem com a pressão no trabalho.,https://images.unsplash.com/photo-1560472354-b33ff0c44a43?w=800
trabalho_A2_030,I work overtime sometimes.,Às vezes trabalho horas extras.,https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?w=800
trabalho_A2_031,I collaborate with different departments.,Colaboro com diferentes departamentos.,https://images.unsplash.com/photo-1497215728101-856f4ea42174?w=800
trabalho_A2_032,I manage my time efficiently.,Administro meu tempo de forma eficiente.,https://images.unsplash.com/photo-1521737604893-d14cc237f11d?w=800
trabalho_A2_033,I adapt to changes quickly.,Adapto-me rapidamente às mudanças.,https://images.unsplash.com/photo-1504384308090-c894fdcc538d?w=800
trabalho_A2_034,I feel productive today.,Sinto-me produtivo hoje.,https://images.unsplash.com/photo-1553877522-43269d4ea984?w=800
trabalho_A2_035,I balance work and rest.,Equilibro trabalho e descanso.,https://images.unsplash.com/photo-1522071820081-009f0129c71c?w=800
trabalho_B1_036,Clear communication improves teamwork.,Comunicação clara melhora o trabalho em equipe.,https://images.unsplash.com/photo-1600880292203-757bb62b4baf?w=800
trabalho_B1_037,Managing deadlines is essential for success.,Gerenciar prazos é essencial para o sucesso.,https://images.unsplash.com/photo-1542744173-8e7e53415bb0?w=800
trabalho_B1_038,I learned a lot from my colleagues.,Aprendi muito com meus colegas.,https://images.unsplash.com/photo-1517245386807-bb43f82c33c4?w=800
trabalho_B1_039,Work challenges help me grow professionally.,Desafios no trabalho me ajudam a crescer profissionalmente.,https://images.unsplash.com/photo-1560472354-b33ff0c44a43?w=800
