id,en,pt,img
casual_A1_001,Hi how are you,Oi como você está,https://images.unsplash.com/photo-1517457373958-b7bdd4587205?w=800
casual_A1_002,I am doing well,Estou bem,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=800
casual_A1_003,How about you,E você,https://images.unsplash.com/photo-1543269865-cbf427effbad?w=800
casual_A1_004,Not bad,Nada mal,https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=800
casual_A1_005,What are you doing,O que você está fazendo,https://images.unsplash.com/photo-1522202176988-66273c2fd55f?w=800
casual_A1_006,I am just relaxing,Estou só relaxando,https://images.unsplash.com/photo-1517245386807-bb43f82c33c4?w=800
casual_A1_007,That sounds good,Isso parece bom,https://images.unsplash.com/photo-1516901175146-c5b585f3b95b?w=800
casual_A1_008,I am a little tired,Estou um pouco cansado,https://images.unsplash.com/photo-1464618663641-bbdd760ae84a?w=800
casual_A1_009,It was a long day,Foi um dia longo,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=800
casual_A1_010,I know how you feel,Eu sei como você se sente,https://images.unsplash.com/photo-1517260911058-0fcfd733702f?w=800
casual_A1_011,Do you want to hang out,Quer sair,https://images.unsplash.com/photo-1517457373958-b7bdd4587205?w=800
casual_A1_012,Maybe later,Talvez mais tarde,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=800
casual_A1_013,What time is it,Que horas são,https://images.unsplash.com/photo-1543269865-cbf427effbad?w=800
casual_A1_014,It is almost noon,Está quase meio dia,https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=800
casual_A1_015,I am hungry,Estou com fome,https://images.unsplash.com/photo-1522202176988-66273c2fd55f?w=800
casual_A1_016,Let us get something to eat,Vamos comer algo,https://images.unsplash.com/photo-1517245386807-bb43f82c33c4?w=800
casual_A1_017,I like that idea,Gosto dessa ideia,https://images.unsplash.com/photo-1516901175146-c5b585f3b95b?w=800
casual_A1_018,Where should we go,Para onde vamos,https://images.unsplash.com/photo-1464618663641-bbdd760ae84a?w=800
casual_A1_019,Anywhere is fine,Qualquer lugar está bom,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=800
casual_A1_020,Let us go,Vamos,https://images.unsplash.com/photo-1517260911058-0fcfd733702f?w=800
casual_A1_021,That place is nice,Aquele lugar é legal,https://images.unsplash.com/photo-1517457373958-b7bdd4587205?w=800
casual_A1_022,I have been there before,Já estive lá antes,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=800
casual_A1_023,It has been a while,Faz tempo,https://images.unsplash.com/photo-1543269865-cbf427effbad?w=800
casual_A1_024,What is new,Quais as novidades,https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=800
casual_A1_025,Not much really,Nada demais,https://images.unsplash.com/photo-1522202176988-66273c2fd55f?w=800
casual_A1_026,Same as always,O mesmo de sempre,https://images.unsplash.com/photo-1517245386807-bb43f82c33c4?w=800
casual_A1_027,I am pretty busy,Estou bem ocupado,https://images.unsplash.com/photo-1516901175146-c5b585f3b95b?w=800
casual_A1_028,I need a break,Preciso de uma pausa,https://images.unsplash.com/photo-1464618663641-bbdd760ae84a?w=800
casual_A1_029,Take your time,Sem pressa,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=800
casual_A1_030,No worries,Sem problema,https://images.unsplash.com/photo-1517260911058-0fcfd733702f?w=800
casual_A1_031,That makes sense,Isso faz sentido,https://images.unsplash.com/photo-1517457373958-b7bdd4587205?w=800
casual_A1_032,I agree with you,Concordo com você,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=800
casual_A1_033,Maybe you are right,Talvez você tenha razão,https://images.unsplash.com/photo-1543269865-cbf427effbad?w=800
casual_A1_034,Let us see,Vamos ver,https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=800
casual_A1_035,I am not sure,Não tenho certeza,https://images.unsplash.com/photo-1522202176988-66273c2fd55f?w=800
casual_A1_036,It depends,Depende,https://images.unsplash.com/photo-1517245386807-bb43f82c33c4?w=800
casual_A1_037,I guess so,Acho que sim,https://images.unsplash.com/photo-1516901175146-c5b585f3b95b?w=800
casual_A1_038,That is true,Isso é verdade,https://images.unsplash.com/photo-1464618663641-bbdd760ae84a?w=800
casual_A1_039,Good point,Bom ponto,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=800
casual_A1_040,Anyway,Enfim,https://images.unsplash.com/photo-1517260911058-0fcfd733702f?w=800
casual_A1_041,I have to go now,Tenho que ir agora,https://images.unsplash.com/photo-1517457373958-b7bdd4587205?w=800
casual_A1_042,Talk to you later,Falo com você depois,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=800
casual_A1_043,See you soon,Até mais,https://images.unsplash.com/photo-1543269865-cbf427effbad?w=800
casual_A1_044,Take care,Se cuida,https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=800
casual_A1_045,Have a good day,Tenha um bom dia,https://images.unsplash.com/photo-1522202176988-66273c2fd55f?w=800
casual_A1_046,Good luck,Boa sorte,https://images.unsplash.com/photo-1517245386807-bb43f82c33c4?w=800
casual_A1_047,Thanks for everything,Obrigado por tudo,https://images.unsplash.com/photo-1516901175146-c5b585f3b95b?w=800
casual_A1_048,No problem at all,Sem problema nenhum,https://images.unsplash.com/photo-1464618663641-bbdd760ae84a?w=800
casual_A1_049,Anytime,Sempre,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=800
casual_A1_050,See you tomorrow,Até amanhã,https://images.unsplash.com/photo-1517260911058-0fcfd733702f?w=800
