id,en,pt,img
school_A1_001,I have a meeting today.,Eu tenho uma reunião hoje.,https://images.unsplash.com/photo-1503676260728-1c00da094a0b?w=800
school_A1_002,Where is the classroom?,Onde fica a sala de aula?,https://images.unsplash.com/photo-1546410531-bb4caa6b424d?w=800
school_A1_003,I need help.,Eu preciso de ajuda.,https://images.unsplash.com/photo-1456513080510-7bf3a84b82f8?w=800
school_A1_004,What time is check-in?,Que horas é o check-in?,https://images.unsplash.com/photo-1457369804613-52c61a468e7d?w=800
school_A1_005,How much does this cost?,Quanto isso custa?,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=800
school_A1_006,I take the bus every day.,Eu pego o ônibus todos os dias.,https://images.unsplash.com/photo-1497633762265-9d179a990aa6?w=800
school_A1_007,I go to the gym.,Eu vou para a academia.,https://images.unsplash.com/photo-1434030216411-0b793f4b4173?w=800
school_A1_008,I work from Monday to Friday.,Eu trabalho de segunda a sexta.,https://images.unsplash.com/photo-1522202176988-66273c2fd55f?w=800
school_A1_009,My flight is at 8 a.m.,Meu voo é às 8 da manhã.,https://images.unsplash.com/photo-1513542789411-b6a5d4f31634?w=800
school_A1_010,I like this place.,Eu gosto deste lugar.,https://images.unsplash.com/photo-1488190211105-8b0e65b80b4e?w=800
school_A2_011,I need to finish this project before Friday.,Preciso terminar este projeto antes de sexta.,https://images.unsplash.com/photo-1471970394675-613138e45da3?w=800
school_A2_012,Can you send me the report by email?,Você pode me enviar o relatório por e-mail?,https://images.unsplash.com/photo-1509228468518-180dd4864904?w=800
school_A2_013,I forgot my password again.,Eu esqueci minha senha novamente.,https://images.unsplash.com/photo-1503676260728-1c00da094a0b?w=800
school_A2_014,We should leave earlier to avoid traffic.,Devemos sair mais cedo para evitar trânsito.,https://images.unsplash.com/photo-1546410531-bb4caa6b424d?w=800
school_A2_015,The hotel room includes breakfast.,O quarto do hotel inclui café da manhã.,https://images.unsplash.com/photo-1456513080510-7bf3a84b82f8?w=800
school_A2_016,This product is on sale today.,Este produto está em promoção hoje.,https://images.unsplash.com/photo-1457369804613-52c61a468e7d?w=800
school_A2_017,I'm trying to improve my English skills.,Estou tentando melhorar minhas habilidades em inglês.,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=800
school_A2_018,Our relationship needs better communication.,Nosso relacionamento precisa de melhor comunicação.,https://images.unsplash.com/photo-1497633762265-9d179a990aa6?w=800
school_A2_019,The airport is very crowded this morning.,O aeroporto está muito cheio esta manhã.,https://images.unsplash.com/photo-1434030216411-0b793f4b4173?w=800
school_A2_020,I usually study at night.,Eu geralmente estudo à noite.,https://images.unsplash.com/photo-1522202176988-66273c2fd55f?w=800
school_B1_021,We need to reschedule the meeting due to a conflict.,Precisamos reagendar a reunião devido a um conflito.,https://images.unsplash.com/photo-1513542789411-b6a5d4f31634?w=800
school_B1_022,I've been working on this task for three hours.,Estou trabalhando nesta tarefa há três horas.,https://images.unsplash.com/photo-1488190211105-8b0e65b80b4e?w=800
school_B1_023,If the flight gets delayed we might miss the connection.,Se o voo atrasar podemos perder a conexão.,https://images.unsplash.com/photo-1471970394675-613138e45da3?w=800
school_B1_024,This software helps us manage our daily activities efficiently.,Este software nos ajuda a gerenciar nossas atividades diárias de forma eficiente.,https://images.unsplash.com/photo-1509228468518-180dd4864904?w=800
school_B1_025,I've been feeling stressed lately because of work.,Tenho me sentido estressado ultimamente por causa do trabalho.,https://images.unsplash.com/photo-1503676260728-1c00da094a0b?w=800
school_B1_026,The teacher explained the topic in a very clear way.,O professor explicou o assunto de forma muito clara.,https://images.unsplash.com/photo-1546410531-bb4caa6b424d?w=800
school_B1_027,We should compare prices before making a decision.,Devemos comparar preços antes de tomar uma decisão.,https://images.unsplash.com/photo-1456513080510-7bf3a84b82f8?w=800
school_B1_028,Regular exercise improves both physical and mental health.,Exercício regular melhora a saúde física e mental.,https://images.unsplash.com/photo-1457369804613-52c61a468e7d?w=800
school_B1_029,I'm looking forward to traveling abroad next year.,Estou ansioso para viajar para o exterior no próximo ano.,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=800
school_B1_030,Technology has changed the way we communicate.,A tecnologia mudou a forma como nos comunicamos.,https://images.unsplash.com/photo-1497633762265-9d179a990aa6?w=800
school_B2_031,The company is expanding its operations globally.,A empresa está expandindo suas operações globalmente.,https://images.unsplash.com/photo-1434030216411-0b793f4b4173?w=800
school_B2_032,I need to improve my leadership skills.,Eu preciso melhorar minhas habilidades de liderança.,https://images.unsplash.com/photo-1522202176988-66273c2fd55f?w=800
school_B2_033,We must take into account the environmental impact.,Devemos levar em conta o impacto ambiental.,https://images.unsplash.com/photo-1513542789411-b6a5d4f31634?w=800
